"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6852","The Admin User Creates A Parent And A Child Project","chromium_test_workflow","Thu Feb 13 15:19:16 GMT 2025","passed","Thu Feb 13 15:19:23 GMT 2025","Create Parent Project","e2e/playwright-tests/features/@projects/create_parent_project.feature.spec.js","",""
"","4087","Without TAG_MANAGEMENT Permission The User Cannot See The Tag Management Tab","chromium_test_workflow","Thu Feb 13 15:18:02 GMT 2025","passed","Thu Feb 13 15:18:06 GMT 2025","VIEW_PORTFOLIO x TAG_MANAGEMENT","e2e/playwright-tests/features/@permissions/tag-management.feature.spec.js","",""
"","4425","Without VIEW_PORTFOLIO Permission The User Cannot Log In","chromium_test_workflow","Thu Feb 13 15:18:37 GMT 2025","failed","Thu Feb 13 15:18:41 GMT 2025","VIEW_PORTFOLIO","e2e/playwright-tests/features/@permissions/view-portfolio.feature.spec.js","",""
"","3038","Store Admin Authentication","setup_admin_authentication","Thu Feb 13 15:13:30 GMT 2025","passed","Thu Feb 13 15:13:33 GMT 2025","","../../setup/auth-setup.ts","",""
"","6990","With VIEW_POLICY_VIOLATION x POLICY_VIOLATION_ANALYSIS Permission The User Can See Audit View On Policy Violations Project Page And Can Audit Them","chromium_test_workflow","Thu Feb 13 15:18:17 GMT 2025","passed","Thu Feb 13 15:18:24 GMT 2025","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION x POLICY_VIOLATION_ANALYSIS","e2e/playwright-tests/features/@permissions/view-policy-violation_x_policy-violation-analysis.feature.spec.js","",""
"","5639","Without VIEW_VULNERABILITY Permission User Cannot See Management Buttons For Projects","chromium_test_workflow","Thu Feb 13 15:18:54 GMT 2025","passed","Thu Feb 13 15:19:00 GMT 2025","VIEW_PORTFOLIO x VIEW_VULNERABILITY","e2e/playwright-tests/features/@permissions/view-vulnerabiliy.feature.spec.js","",""
"","5457","Delete All Test Projects Before Tests","setup_provisioning","Thu Feb 13 15:13:41 GMT 2025","passed","Thu Feb 13 15:13:47 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","12318","The Admin User Validates A Test Project With A Recently Uploaded BOM","chromium_test_workflow","Thu Feb 13 15:19:51 GMT 2025","passed","Thu Feb 13 15:20:03 GMT 2025","Validate BOM Upload","e2e/playwright-tests/features/@projects/validate_bom_upload.feature.spec.js","",""
"","3093","Without SYSTEM_CONFIGURATION Permission User Cannot See Administration Tab","chromium_test_workflow","Thu Feb 13 15:17:55 GMT 2025","passed","Thu Feb 13 15:17:58 GMT 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION","e2e/playwright-tests/features/@permissions/system-configuration.feature.spec.js","",""
"","4014","The Admin User Suppresses A Policy Violation","chromium_test_workflow","Thu Feb 13 15:19:47 GMT 2025","passed","Thu Feb 13 15:19:51 GMT 2025","Try Creating Existing Project","e2e/playwright-tests/features/@projects/try_creating_existing_project.feature.spec.js","",""
"","7501","With PORTFOLIO_MANAGEMENT Permission User Can See Management Buttons For Projects","chromium_test_workflow","Thu Feb 13 15:17:38 GMT 2025","passed","Thu Feb 13 15:17:45 GMT 2025","VIEW_PORTFOLIO x PORTFOLIO_MANAGEMENT","e2e/playwright-tests/features/@permissions/portfolio-management.feature.spec.js","",""
"","7327","Without PORTFOLIO_MANAGEMENT Permission User Cannot See Management Buttons For Projects","chromium_test_workflow","Thu Feb 13 15:17:31 GMT 2025","passed","Thu Feb 13 15:17:38 GMT 2025","VIEW_PORTFOLIO x PORTFOLIO_MANAGEMENT","e2e/playwright-tests/features/@permissions/portfolio-management.feature.spec.js","",""
"","8356","With VIEW_PORTFOLIO Permission The User Verifies Access","chromium_test_workflow","Thu Feb 13 15:18:46 GMT 2025","passed","Thu Feb 13 15:18:54 GMT 2025","VIEW_PORTFOLIO","e2e/playwright-tests/features/@permissions/view-portfolio.feature.spec.js","",""
"","6919","With VIEW_POLICY_VIOLATION Permission The User Can See Audit View On Policy Violations Project Page","chromium_test_workflow","Thu Feb 13 15:18:30 GMT 2025","passed","Thu Feb 13 15:18:37 GMT 2025","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION","e2e/playwright-tests/features/@permissions/view-policy-violation.feature.spec.js","",""
"","4126","With SYSTEM_CONFIGURATION But Without ACCESS_MANAGEMENT Permission The User Cannot See Access Management Menu","chromium_test_workflow","Thu Feb 13 15:17:45 GMT 2025","passed","Thu Feb 13 15:17:50 GMT 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION x ACCESS_MANAGEMENT","e2e/playwright-tests/features/@permissions/system-configuration_x_access-management.feature.spec.js","",""
"","7097","Without BOM_UPLOAD Permission The User Cannot See The BOM Upload Button","chromium_test_workflow","Thu Feb 13 15:17:08 GMT 2025","passed","Thu Feb 13 15:17:15 GMT 2025","VIEW_PORTFOLIO x BOM_UPLOAD","e2e/playwright-tests/features/@permissions/bom-upload.feature.spec.js","",""
"","12473","Change Initial Password As Admin","setup_initial","Thu Feb 13 15:13:13 GMT 2025","passed","Thu Feb 13 15:13:25 GMT 2025","","../../setup/initial-setup.ts","",""
"","128727","Provide Test Users With Respective Permissions","setup_provisioning","Thu Feb 13 15:14:59 GMT 2025","passed","Thu Feb 13 15:17:08 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","3146","Without POLICY_MANAGEMENT Permission The User Cannot See The Policy Management Tab","chromium_test_workflow","Thu Feb 13 15:17:22 GMT 2025","passed","Thu Feb 13 15:17:25 GMT 2025","VIEW_PORTFOLIO x POLICY_MANAGEMENT","e2e/playwright-tests/features/@permissions/policy-management.feature.spec.js","",""
"","39711","Create Test Users","setup_provisioning","Thu Feb 13 15:13:47 GMT 2025","passed","Thu Feb 13 15:14:26 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","10980","The Admin User Suppresses A Policy Violation","chromium_test_workflow","Thu Feb 13 15:19:36 GMT 2025","passed","Thu Feb 13 15:19:47 GMT 2025","Suppress Violation Against Policy","e2e/playwright-tests/features/@projects/suppress_violation_against_policy.feature.spec.js","",""
"","4078","Without VULNERABILITY_MANAGEMENT Permission The User Cannot See The Vulnerability Create Button","chromium_test_workflow","Thu Feb 13 15:19:08 GMT 2025","passed","Thu Feb 13 15:19:12 GMT 2025","VIEW_PORTFOLIO x VULNERABILITY_MANAGEMENT","e2e/playwright-tests/features/@permissions/vulnerability-management.feature.spec.js","",""
"","3809","With VIEW_PORTFOLIO Permissions The User Tries To Log In With Wrong Credentials","chromium_test_workflow","Thu Feb 13 15:18:42 GMT 2025","passed","Thu Feb 13 15:18:46 GMT 2025","VIEW_PORTFOLIO","e2e/playwright-tests/features/@permissions/view-portfolio.feature.spec.js","",""
"","7441","The Admin User Deletes Respective Projects","chromium_test_workflow","Thu Feb 13 15:19:23 GMT 2025","passed","Thu Feb 13 15:19:30 GMT 2025","Create Parent Project","e2e/playwright-tests/features/@projects/create_parent_project.feature.spec.js","",""
"","6840","With BOM_UPLOAD Permission The User Can See The BOM Upload Button","chromium_test_workflow","Thu Feb 13 15:17:15 GMT 2025","passed","Thu Feb 13 15:17:22 GMT 2025","VIEW_PORTFOLIO x BOM_UPLOAD","e2e/playwright-tests/features/@permissions/bom-upload.feature.spec.js","",""
"","5747","The Admin User Sets A Test Project To Inactive","chromium_test_workflow","Thu Feb 13 15:19:30 GMT 2025","passed","Thu Feb 13 15:19:36 GMT 2025","Make Project Inactive","e2e/playwright-tests/features/@projects/make_project_inactive.feature.spec.js","",""
"","4027","With VULNERABILITY_MANAGEMENT Permission The User Can See The Vulnerability Create Button","chromium_test_workflow","Thu Feb 13 15:19:12 GMT 2025","passed","Thu Feb 13 15:19:16 GMT 2025","VIEW_PORTFOLIO x VULNERABILITY_MANAGEMENT","e2e/playwright-tests/features/@permissions/vulnerability-management.feature.spec.js","",""
"","5543","Without VIEW_POLICY_VIOLATION Permission The User Cannot See The Policy Violations On Project Page","chromium_test_workflow","Thu Feb 13 15:18:24 GMT 2025","passed","Thu Feb 13 15:18:30 GMT 2025","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION","e2e/playwright-tests/features/@permissions/view-policy-violation.feature.spec.js","",""
"","7051","With VIEW_POLICY_VIOLATION But Without POLICY_VIOLATION_ANALYSIS Permission Can See Audit View On Policy Violations Project Page But Cannot Audit Them","chromium_test_workflow","Thu Feb 13 15:18:10 GMT 2025","passed","Thu Feb 13 15:18:17 GMT 2025","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION x POLICY_VIOLATION_ANALYSIS","e2e/playwright-tests/features/@permissions/view-policy-violation_x_policy-violation-analysis.feature.spec.js","",""
"","8118","With VIEW_VULNERABILITY Permission User Can See Management Buttons For Projects","chromium_test_workflow","Thu Feb 13 15:19:00 GMT 2025","passed","Thu Feb 13 15:19:08 GMT 2025","VIEW_PORTFOLIO x VIEW_VULNERABILITY","e2e/playwright-tests/features/@permissions/view-vulnerabiliy.feature.spec.js","",""
"","4278","Delete All Test Users Before Tests","setup_provisioning","Thu Feb 13 15:13:33 GMT 2025","passed","Thu Feb 13 15:13:38 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","3995","With TAG_MANAGEMENT Permission The User Can See The Tag Management Tab","chromium_test_workflow","Thu Feb 13 15:18:06 GMT 2025","passed","Thu Feb 13 15:18:10 GMT 2025","VIEW_PORTFOLIO x TAG_MANAGEMENT","e2e/playwright-tests/features/@permissions/tag-management.feature.spec.js","",""
"","5219","With SYSTEM_CONFIGURATION x ACCESS_MANAGEMENT Permission The User Can See Administration Tab","chromium_test_workflow","Thu Feb 13 15:17:50 GMT 2025","passed","Thu Feb 13 15:17:55 GMT 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION x ACCESS_MANAGEMENT","e2e/playwright-tests/features/@permissions/system-configuration_x_access-management.feature.spec.js","",""
"","3341","Delete All Test Policies Before Tests","setup_provisioning","Thu Feb 13 15:13:38 GMT 2025","passed","Thu Feb 13 15:13:41 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","19231","Create Test Project With Default BOM","setup_provisioning","Thu Feb 13 15:14:40 GMT 2025","passed","Thu Feb 13 15:14:59 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","13275","Create Test Policies","setup_provisioning","Thu Feb 13 15:14:26 GMT 2025","passed","Thu Feb 13 15:14:40 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","5060","With POLICY_MANAGEMENT Permission The User Can See The Policy Management Tab","chromium_test_workflow","Thu Feb 13 15:17:25 GMT 2025","passed","Thu Feb 13 15:17:31 GMT 2025","VIEW_PORTFOLIO x POLICY_MANAGEMENT","e2e/playwright-tests/features/@permissions/policy-management.feature.spec.js","",""
"","4104","With SYSTEM_CONFIGURATION Permission User Can See Administration Tab","chromium_test_workflow","Thu Feb 13 15:17:58 GMT 2025","passed","Thu Feb 13 15:18:02 GMT 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION","e2e/playwright-tests/features/@permissions/system-configuration.feature.spec.js","",""
