"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5033","With POLICY_MANAGEMENT Permission The User Can See The Policy Management Tab","chromium_test_workflow","Sun Feb 16 20:16:34 GMT 2025","passed","Sun Feb 16 20:16:39 GMT 2025","VIEW_PORTFOLIO x POLICY_MANAGEMENT","e2e/playwright-tests/features/@permissions/policy-management.feature.spec.js","",""
"","2989","Without POLICY_MANAGEMENT Permission The User Cannot See The Policy Management Tab","chromium_test_workflow","Sun Feb 16 20:16:31 GMT 2025","passed","Sun Feb 16 20:16:34 GMT 2025","VIEW_PORTFOLIO x POLICY_MANAGEMENT","e2e/playwright-tests/features/@permissions/policy-management.feature.spec.js","",""
"","3864","Without TAG_MANAGEMENT Permission The User Cannot See The Tag Management Tab","chromium_test_workflow","Sun Feb 16 20:17:09 GMT 2025","passed","Sun Feb 16 20:17:13 GMT 2025","VIEW_PORTFOLIO x TAG_MANAGEMENT","e2e/playwright-tests/features/@permissions/tag-management.feature.spec.js","",""
"","6786","With VIEW_POLICY_VIOLATION Permission The User Can See Audit View On Policy Violations Project Page","chromium_test_workflow","Sun Feb 16 20:17:36 GMT 2025","passed","Sun Feb 16 20:17:43 GMT 2025","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION","e2e/playwright-tests/features/@permissions/view-policy-violation.feature.spec.js","",""
"","7537","Delete All Test Projects Before Tests","setup_provisioning","Sun Feb 16 20:12:21 GMT 2025","passed","Sun Feb 16 20:12:29 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","12272","The Admin User Validates A Test Project With A Recently Uploaded BOM","chromium_test_workflow","Sun Feb 16 20:20:03 GMT 2025","passed","Sun Feb 16 20:20:16 GMT 2025","Validate BOM Upload","e2e/playwright-tests/features/@projects/validate_bom_upload.feature.spec.js","",""
"","7198","Without PORTFOLIO_MANAGEMENT Permission The User Cannot See Management Buttons For Projects","chromium_test_workflow","Sun Feb 16 20:16:39 GMT 2025","passed","Sun Feb 16 20:16:46 GMT 2025","VIEW_PORTFOLIO x PORTFOLIO_MANAGEMENT","e2e/playwright-tests/features/@permissions/portfolio-management.feature.spec.js","",""
"","40067","Create Test Users","setup_provisioning","Sun Feb 16 20:12:29 GMT 2025","passed","Sun Feb 16 20:13:09 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","3693","With VIEW_PORTFOLIO Permissions The User Tries To Log In With Wrong Credentials","chromium_test_workflow","Sun Feb 16 20:17:48 GMT 2025","passed","Sun Feb 16 20:17:51 GMT 2025","VIEW_PORTFOLIO","e2e/playwright-tests/features/@permissions/view-portfolio.feature.spec.js","",""
"","7104","Create Test Vulnerability","setup_provisioning","Sun Feb 16 20:13:22 GMT 2025","passed","Sun Feb 16 20:13:29 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","5084","With SYSTEM_CONFIGURATION x ACCESS_MANAGEMENT Permission The User Can See Administration Tab","chromium_test_workflow","Sun Feb 16 20:16:57 GMT 2025","passed","Sun Feb 16 20:17:02 GMT 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION x ACCESS_MANAGEMENT","e2e/playwright-tests/features/@permissions/system-configuration_x_access-management.feature.spec.js","",""
