"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5452","Delete All Test Projects Before Tests","setup_provisioning","Thu Feb 13 10:33:51 GMT 2025","passed","Thu Feb 13 10:33:56 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","3138","Delete All Test Policies Before Tests","setup_provisioning","Thu Feb 13 10:33:48 GMT 2025","passed","Thu Feb 13 10:33:51 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","40234","Create Test Users","setup_provisioning","Thu Feb 13 10:33:56 GMT 2025","passed","Thu Feb 13 10:34:36 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","5541","The Admin User Sets A Test Project To Inactive","chromium_test_workflow","Thu Feb 13 10:39:17 GMT 2025","passed","Thu Feb 13 10:39:23 GMT 2025","Make Project Inactive","e2e/playwright-tests/features/@projects/make_project_inactive.feature.spec.js","",""
"","3778","The Admin User Suppresses A Policy Violation","chromium_test_workflow","Thu Feb 13 10:39:34 GMT 2025","passed","Thu Feb 13 10:39:38 GMT 2025","Try Creating Existing Project","e2e/playwright-tests/features/@projects/try_creating_existing_project.feature.spec.js","",""
"","3865","With SYSTEM_CONFIGURATION Permission User Can See Administration Tab","chromium_test_workflow","Thu Feb 13 10:38:02 GMT 2025","passed","Thu Feb 13 10:38:06 GMT 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION","e2e/playwright-tests/features/@permissions/system-configuration.feature.spec.js","",""
"","2989","Without SYSTEM_CONFIGURATION Permission User Cannot See Administration Tab","chromium_test_workflow","Thu Feb 13 10:37:59 GMT 2025","passed","Thu Feb 13 10:38:02 GMT 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION","e2e/playwright-tests/features/@permissions/system-configuration.feature.spec.js","",""
"","3946","With VULNERABILITY_MANAGEMENT Permission The User Can See The Vulnerability Create Button","chromium_test_workflow","Thu Feb 13 10:38:59 GMT 2025","passed","Thu Feb 13 10:39:03 GMT 2025","VIEW_PORTFOLIO x VULNERABILITY_MANAGEMENT","e2e/playwright-tests/features/@permissions/vulnerability-management.feature.spec.js","",""
"","6861","With BOM_UPLOAD Permission The User Can See The BOM Upload Button","chromium_test_workflow","Thu Feb 13 10:37:21 GMT 2025","passed","Thu Feb 13 10:37:28 GMT 2025","VIEW_PORTFOLIO x BOM_UPLOAD","e2e/playwright-tests/features/@permissions/bom-upload.feature.spec.js","",""
"","12189","Change Initial Password As Admin","setup_initial","Thu Feb 13 10:33:25 GMT 2025","passed","Thu Feb 13 10:33:37 GMT 2025","","../../setup/initial-setup.ts","",""
