"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3076","Without POLICY_MANAGEMENT Permission The User Cannot See The Policy Management Tab","chromium_test_workflow","Sat Feb 15 17:07:47 GMT 2025","passed","Sat Feb 15 17:07:50 GMT 2025","VIEW_PORTFOLIO x POLICY_MANAGEMENT","e2e/playwright-tests/features/@permissions/policy-management.feature.spec.js","",""
"","4132","With VULNERABILITY_MANAGEMENT Permission The User Can See The Vulnerability Create Button","chromium_test_workflow","Sat Feb 15 17:10:13 GMT 2025","passed","Sat Feb 15 17:10:17 GMT 2025","VIEW_PORTFOLIO x VULNERABILITY_MANAGEMENT","e2e/playwright-tests/features/@permissions/vulnerability-management.feature.spec.js","",""
"","10083","The Admin User Verifies Vex Application Inside A Test Project","chromium_test_workflow","Sat Feb 15 17:10:25 GMT 2025","passed","Sat Feb 15 17:10:35 GMT 2025","Create Custom Component","e2e/playwright-tests/features/@projects/apply_vex_to_project.feature.spec.js","",""
"","7018","With VIEW_POLICY_VIOLATION Permission The User Can See Audit View On Policy Violations Project Page","chromium_test_workflow","Sat Feb 15 17:08:54 GMT 2025","passed","Sat Feb 15 17:09:01 GMT 2025","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION","e2e/playwright-tests/features/@permissions/view-policy-violation.feature.spec.js","",""
"","3090","Without SYSTEM_CONFIGURATION Permission The User Cannot See Administration Tab","chromium_test_workflow","Sat Feb 15 17:08:19 GMT 2025","passed","Sat Feb 15 17:08:22 GMT 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION","e2e/playwright-tests/features/@permissions/system-configuration.feature.spec.js","",""
"","5761","Without VIEW_VULNERABILITY Permission The User Cannot See Management Buttons For Projects","chromium_test_workflow","Sat Feb 15 17:09:47 GMT 2025","passed","Sat Feb 15 17:09:53 GMT 2025","VIEW_PORTFOLIO x VIEW_VULNERABILITY","e2e/playwright-tests/features/@permissions/view-vulnerabiliy.feature.spec.js","",""
"","3160","Delete All Test Vulnerabilities Before Tests","setup_provisioning","Sat Feb 15 17:03:30 GMT 2025","passed","Sat Feb 15 17:03:33 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","4092","With SYSTEM_CONFIGURATION But Without ACCESS_MANAGEMENT Permission The User Cannot See Access Management Menu","chromium_test_workflow","Sat Feb 15 17:08:10 GMT 2025","passed","Sat Feb 15 17:08:14 GMT 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION x ACCESS_MANAGEMENT","e2e/playwright-tests/features/@permissions/system-configuration_x_access-management.feature.spec.js","",""
"","6264","The Admin User Sets A Test Project To Inactive","chromium_test_workflow","Sat Feb 15 17:11:05 GMT 2025","passed","Sat Feb 15 17:11:12 GMT 2025","Make Project Inactive","e2e/playwright-tests/features/@projects/make_project_inactive.feature.spec.js","",""
"","4016","With SYSTEM_CONFIGURATION Permission The User Can See Administration Tab","chromium_test_workflow","Sat Feb 15 17:08:22 GMT 2025","passed","Sat Feb 15 17:08:26 GMT 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION","e2e/playwright-tests/features/@permissions/system-configuration.feature.spec.js","",""
"","8608","The Admin User Deletes A Custom Component Inside A Test Project","chromium_test_workflow","Sat Feb 15 17:10:42 GMT 2025","passed","Sat Feb 15 17:10:50 GMT 2025","Create Custom Component","e2e/playwright-tests/features/@projects/create_custom_component.feature.spec.js","",""
"","12303","Change Initial Password As Admin","setup_initial","Sat Feb 15 17:03:03 GMT 2025","passed","Sat Feb 15 17:03:15 GMT 2025","","../../setup/initial-setup.ts","",""
"","5197","With POLICY_MANAGEMENT Permission The User Can See The Policy Management Tab","chromium_test_workflow","Sat Feb 15 17:07:50 GMT 2025","passed","Sat Feb 15 17:07:55 GMT 2025","VIEW_PORTFOLIO x POLICY_MANAGEMENT","e2e/playwright-tests/features/@permissions/policy-management.feature.spec.js","",""
"","4268","Without VULNERABILITY_MANAGEMENT Permission The User Cannot See The Vulnerability Create Button","chromium_test_workflow","Sat Feb 15 17:10:08 GMT 2025","passed","Sat Feb 15 17:10:12 GMT 2025","VIEW_PORTFOLIO x VULNERABILITY_MANAGEMENT","e2e/playwright-tests/features/@permissions/vulnerability-management.feature.spec.js","",""
"","11363","The Admin User Suppresses A Policy Violation","chromium_test_workflow","Sat Feb 15 17:11:12 GMT 2025","passed","Sat Feb 15 17:11:23 GMT 2025","Suppress Violation Against Policy","e2e/playwright-tests/features/@projects/suppress_violation_against_policy.feature.spec.js","",""
