"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5202","With SYSTEM_CONFIGURATION x ACCESS_MANAGEMENT Permission The User Can See Administration Tab","chromium_test_workflow","Fri Feb 14 22:27:21 GMT 2025","passed","Fri Feb 14 22:27:26 GMT 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION x ACCESS_MANAGEMENT","e2e/playwright-tests/features/@permissions/system-configuration_x_access-management.feature.spec.js","",""
"","13300","With VIEW_VULNERABILITY Permission The User ...","chromium_test_workflow","Fri Feb 14 22:28:38 GMT 2025","failed","Fri Feb 14 22:28:51 GMT 2025","VIEW_PORTFOLIO x VIEW_VULNERABILITY x VULNERABILITY_ANALYSIS","e2e/playwright-tests/features/@permissions/view-vulnerability_x_vulnerability-analysis.feature.spec.js","",""
"","4001","With VULNERABILITY_MANAGEMENT Permission The User Can See The Vulnerability Create Button","chromium_test_workflow","Fri Feb 14 22:29:17 GMT 2025","passed","Fri Feb 14 22:29:21 GMT 2025","VIEW_PORTFOLIO x VULNERABILITY_MANAGEMENT","e2e/playwright-tests/features/@permissions/vulnerability-management.feature.spec.js","",""
"","7688","Delete All Test Projects Before Tests","setup_provisioning","Fri Feb 14 22:22:46 GMT 2025","passed","Fri Feb 14 22:22:54 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","4009","With SYSTEM_CONFIGURATION But Without ACCESS_MANAGEMENT Permission The User Cannot See Access Management Menu","chromium_test_workflow","Fri Feb 14 22:27:17 GMT 2025","passed","Fri Feb 14 22:27:21 GMT 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION x ACCESS_MANAGEMENT","e2e/playwright-tests/features/@permissions/system-configuration_x_access-management.feature.spec.js","",""
"","4114","Without VULNERABILITY_MANAGEMENT Permission The User Cannot See The Vulnerability Create Button","chromium_test_workflow","Fri Feb 14 22:29:13 GMT 2025","passed","Fri Feb 14 22:29:17 GMT 2025","VIEW_PORTFOLIO x VULNERABILITY_MANAGEMENT","e2e/playwright-tests/features/@permissions/vulnerability-management.feature.spec.js","",""
"","5458","Without VIEW_POLICY_VIOLATION Permission The User Cannot See The Policy Violations On Project Page","chromium_test_workflow","Fri Feb 14 22:27:55 GMT 2025","passed","Fri Feb 14 22:28:00 GMT 2025","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION","e2e/playwright-tests/features/@permissions/view-policy-violation.feature.spec.js","",""
"","3937","With TAG_MANAGEMENT Permission The User Can See The Tag Management Tab","chromium_test_workflow","Fri Feb 14 22:27:37 GMT 2025","passed","Fri Feb 14 22:27:41 GMT 2025","VIEW_PORTFOLIO x TAG_MANAGEMENT","e2e/playwright-tests/features/@permissions/tag-management.feature.spec.js","",""
"","3068","Without POLICY_MANAGEMENT Permission The User Cannot See The Policy Management Tab","chromium_test_workflow","Fri Feb 14 22:26:54 GMT 2025","passed","Fri Feb 14 22:26:57 GMT 2025","VIEW_PORTFOLIO x POLICY_MANAGEMENT","e2e/playwright-tests/features/@permissions/policy-management.feature.spec.js","",""
"","3893","The Admin User Suppresses A Policy Violation","chromium_test_workflow","Fri Feb 14 22:30:23 GMT 2025","passed","Fri Feb 14 22:30:27 GMT 2025","Try Creating Existing Project","e2e/playwright-tests/features/@projects/try_creating_existing_project.feature.spec.js","",""
