"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7570","Delete All Test Projects Before Tests","setup_provisioning","Sat Feb 15 17:24:45 GMT 2025","passed","Sat Feb 15 17:24:53 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","4190","Delete All Test Users Before Tests","setup_provisioning","Sat Feb 15 17:24:35 GMT 2025","passed","Sat Feb 15 17:24:39 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","6924","With VIEW_VULNERABILITY Permission The User ...","chromium_test_workflow","Sat Feb 15 17:30:29 GMT 2025","passed","Sat Feb 15 17:30:36 GMT 2025","VIEW_PORTFOLIO x VIEW_VULNERABILITY x VULNERABILITY_ANALYSIS","e2e/playwright-tests/features/@permissions/view-vulnerability_x_vulnerability-analysis.feature.spec.js","",""
"","2991","Without POLICY_MANAGEMENT Permission The User Cannot See The Policy Management Tab","chromium_test_workflow","Sat Feb 15 17:28:53 GMT 2025","passed","Sat Feb 15 17:28:56 GMT 2025","VIEW_PORTFOLIO x POLICY_MANAGEMENT","e2e/playwright-tests/features/@permissions/policy-management.feature.spec.js","",""
"","8150","The Admin User Deletes A Custom Component Inside A Test Project","chromium_test_workflow","Sat Feb 15 17:31:21 GMT 2025","passed","Sat Feb 15 17:31:29 GMT 2025","Create Custom Component","e2e/playwright-tests/features/@projects/create_custom_component.feature.spec.js","",""
"","6843","The Admin User Creates A Custom Component Inside A Test Project","chromium_test_workflow","Sat Feb 15 17:31:14 GMT 2025","passed","Sat Feb 15 17:31:21 GMT 2025","Create Custom Component","e2e/playwright-tests/features/@projects/create_custom_component.feature.spec.js","",""
"","3970","With VULNERABILITY_MANAGEMENT Permission The User Can See The Vulnerability Create Button","chromium_test_workflow","Sat Feb 15 17:30:54 GMT 2025","passed","Sat Feb 15 17:30:58 GMT 2025","VIEW_PORTFOLIO x VULNERABILITY_MANAGEMENT","e2e/playwright-tests/features/@permissions/vulnerability-management.feature.spec.js","",""
"","12284","Change Initial Password As Admin","setup_initial","Sat Feb 15 17:24:16 GMT 2025","passed","Sat Feb 15 17:24:28 GMT 2025","","../../setup/initial-setup.ts","",""
"","5152","With SYSTEM_CONFIGURATION x ACCESS_MANAGEMENT Permission The User Can See Administration Tab","chromium_test_workflow","Sat Feb 15 17:29:19 GMT 2025","passed","Sat Feb 15 17:29:24 GMT 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION x ACCESS_MANAGEMENT","e2e/playwright-tests/features/@permissions/system-configuration_x_access-management.feature.spec.js","",""
"","3949","With SYSTEM_CONFIGURATION Permission The User Can See Administration Tab","chromium_test_workflow","Sat Feb 15 17:29:27 GMT 2025","passed","Sat Feb 15 17:29:31 GMT 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION","e2e/playwright-tests/features/@permissions/system-configuration.feature.spec.js","",""
