"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3818","The Admin User Suppresses A Policy Violation","chromium_test_workflow","Sat Feb 15 20:19:58 GMT 2025","passed","Sat Feb 15 20:20:02 GMT 2025","Try Creating Existing Project","e2e/playwright-tests/features/@projects/try_creating_existing_project.feature.spec.js","",""
"","7523","Delete All Test Projects Before Tests","setup_provisioning","Sat Feb 15 20:12:41 GMT 2025","passed","Sat Feb 15 20:12:49 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","7358","Without PORTFOLIO_MANAGEMENT Permission The User Cannot See Management Buttons For Projects","chromium_test_workflow","Sat Feb 15 20:16:58 GMT 2025","passed","Sat Feb 15 20:17:05 GMT 2025","VIEW_PORTFOLIO x PORTFOLIO_MANAGEMENT","e2e/playwright-tests/features/@permissions/portfolio-management.feature.spec.js","",""
"","5786","The Admin User Sets A Test Project To Inactive","chromium_test_workflow","Sat Feb 15 20:19:41 GMT 2025","passed","Sat Feb 15 20:19:47 GMT 2025","Make Project Inactive","e2e/playwright-tests/features/@projects/make_project_inactive.feature.spec.js","",""
"","5515","Without VIEW_VULNERABILITY Permission The User Cannot See Management Buttons For Projects","chromium_test_workflow","Sat Feb 15 20:18:34 GMT 2025","passed","Sat Feb 15 20:18:39 GMT 2025","VIEW_PORTFOLIO x VIEW_VULNERABILITY","e2e/playwright-tests/features/@permissions/view-vulnerabiliy.feature.spec.js","",""
"","6895","With VIEW_POLICY_VIOLATION Permission The User Can See Audit View On Policy Violations Project Page","chromium_test_workflow","Sat Feb 15 20:17:56 GMT 2025","passed","Sat Feb 15 20:18:03 GMT 2025","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION","e2e/playwright-tests/features/@permissions/view-policy-violation.feature.spec.js","",""
"","7323","The Admin User Deletes Respective Projects","chromium_test_workflow","Sat Feb 15 20:19:34 GMT 2025","passed","Sat Feb 15 20:19:41 GMT 2025","Create Parent Project","e2e/playwright-tests/features/@projects/create_parent_project.feature.spec.js","",""
"","3950","Without VULNERABILITY_MANAGEMENT Permission The User Cannot See The Vulnerability Create Button","chromium_test_workflow","Sat Feb 15 20:18:47 GMT 2025","passed","Sat Feb 15 20:18:51 GMT 2025","VIEW_PORTFOLIO x VULNERABILITY_MANAGEMENT","e2e/playwright-tests/features/@permissions/vulnerability-management.feature.spec.js","",""
"","6972","With VIEW_POLICY_VIOLATION x POLICY_VIOLATION_ANALYSIS Permission The User Can See Audit View On Policy Violations Project Page And Can Audit Them","chromium_test_workflow","Sat Feb 15 20:17:43 GMT 2025","passed","Sat Feb 15 20:17:50 GMT 2025","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION x POLICY_VIOLATION_ANALYSIS","e2e/playwright-tests/features/@permissions/view-policy-violation_x_policy-violation-analysis.feature.spec.js","",""
"","13161","Create Test Policies","setup_provisioning","Sat Feb 15 20:13:28 GMT 2025","passed","Sat Feb 15 20:13:41 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","3028","Without POLICY_MANAGEMENT Permission The User Cannot See The Policy Management Tab","chromium_test_workflow","Sat Feb 15 20:16:50 GMT 2025","passed","Sat Feb 15 20:16:53 GMT 2025","VIEW_PORTFOLIO x POLICY_MANAGEMENT","e2e/playwright-tests/features/@permissions/policy-management.feature.spec.js","",""
"","4300","Without VIEW_PORTFOLIO Permission The User Cannot Log In","chromium_test_workflow","Sat Feb 15 20:18:03 GMT 2025","failed","Sat Feb 15 20:18:07 GMT 2025","VIEW_PORTFOLIO","e2e/playwright-tests/features/@permissions/view-portfolio.feature.spec.js","",""
"","7420","The Admin User Applies Vex Inside A Test Project","chromium_test_workflow","Sat Feb 15 20:18:55 GMT 2025","passed","Sat Feb 15 20:19:03 GMT 2025","Create Custom Component","e2e/playwright-tests/features/@projects/apply_vex_to_project.feature.spec.js","",""
"","12341","Change Initial Password As Admin","setup_initial","Sat Feb 15 20:12:09 GMT 2025","passed","Sat Feb 15 20:12:22 GMT 2025","","../../setup/initial-setup.ts","",""
"","9596","The Admin User Verifies Vex Application Inside A Test Project","chromium_test_workflow","Sat Feb 15 20:19:03 GMT 2025","passed","Sat Feb 15 20:19:12 GMT 2025","Create Custom Component","e2e/playwright-tests/features/@projects/apply_vex_to_project.feature.spec.js","",""
"","126433","Provide Test Users With Respective Permissions","setup_provisioning","Sat Feb 15 20:14:28 GMT 2025","passed","Sat Feb 15 20:16:35 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","12247","The Admin User Validates A Test Project With A Recently Uploaded BOM","chromium_test_workflow","Sat Feb 15 20:20:02 GMT 2025","passed","Sat Feb 15 20:20:14 GMT 2025","Validate BOM Upload","e2e/playwright-tests/features/@projects/validate_bom_upload.feature.spec.js","",""
"","4234","Delete All Test Users Before Tests","setup_provisioning","Sat Feb 15 20:12:31 GMT 2025","passed","Sat Feb 15 20:12:35 GMT 2025","","../setup/e2e/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","5524","Without VIEW_POLICY_VIOLATION Permission The User Cannot See The Policy Violations On Project Page","chromium_test_workflow","Sat Feb 15 20:17:50 GMT 2025","passed","Sat Feb 15 20:17:56 GMT 2025","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION","e2e/playwright-tests/features/@permissions/view-policy-violation.feature.spec.js","",""
"","10881","The Admin User Suppresses A Policy Violation","chromium_test_workflow","Sat Feb 15 20:19:47 GMT 2025","passed","Sat Feb 15 20:19:58 GMT 2025","Suppress Violation Against Policy","e2e/playwright-tests/features/@projects/suppress_violation_against_policy.feature.spec.js","",""
"","6958","With VIEW_VULNERABILITY But Without VULNERABILITY_ANALYSIS Permission The User ...","chromium_test_workflow","Sat Feb 15 20:18:20 GMT 2025","passed","Sat Feb 15 20:18:27 GMT 2025","VIEW_PORTFOLIO x VIEW_VULNERABILITY x VULNERABILITY_ANALYSIS","e2e/playwright-tests/features/@permissions/view-vulnerability_x_vulnerability-analysis.feature.spec.js","",""
"","5102","With POLICY_MANAGEMENT Permission The User Can See The Policy Management Tab","chromium_test_workflow","Sat Feb 15 20:16:53 GMT 2025","passed","Sat Feb 15 20:16:58 GMT 2025","VIEW_PORTFOLIO x POLICY_MANAGEMENT","e2e/playwright-tests/features/@permissions/policy-management.feature.spec.js","",""
"","3978","With SYSTEM_CONFIGURATION Permission The User Can See Administration Tab","chromium_test_workflow","Sat Feb 15 20:17:25 GMT 2025","passed","Sat Feb 15 20:17:29 GMT 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION","e2e/playwright-tests/features/@permissions/system-configuration.feature.spec.js","",""
"","3897","Without TAG_MANAGEMENT Permission The User Cannot See The Tag Management Tab","chromium_test_workflow","Sat Feb 15 20:17:29 GMT 2025","passed","Sat Feb 15 20:17:32 GMT 2025","VIEW_PORTFOLIO x TAG_MANAGEMENT","e2e/playwright-tests/features/@permissions/tag-management.feature.spec.js","",""
"","6414","The Admin User Creates A Parent And A Child Project","chromium_test_workflow","Sat Feb 15 20:19:28 GMT 2025","passed","Sat Feb 15 20:19:34 GMT 2025","Create Parent Project","e2e/playwright-tests/features/@projects/create_parent_project.feature.spec.js","",""
"","6927","With VIEW_POLICY_VIOLATION But Without POLICY_VIOLATION_ANALYSIS Permission The User Can See Audit View On Policy Violations Project Page But Cannot Audit Them","chromium_test_workflow","Sat Feb 15 20:17:36 GMT 2025","passed","Sat Feb 15 20:17:43 GMT 2025","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION x POLICY_VIOLATION_ANALYSIS","e2e/playwright-tests/features/@permissions/view-policy-violation_x_policy-violation-analysis.feature.spec.js","",""
"","6821","The Admin User Creates A Custom Component Inside A Test Project","chromium_test_workflow","Sat Feb 15 20:19:12 GMT 2025","passed","Sat Feb 15 20:19:19 GMT 2025","Create Custom Component","e2e/playwright-tests/features/@projects/create_custom_component.feature.spec.js","",""
